mgapId,mgapId/gender,mgapId/geographic_origin,mgapId/species,rowid,sequenceType,sraAccession,totalReads
m00300,f,India,RHESUS MACAQUE,864982,Whole Genome: Deep Coverage,SRR7865770,334667405
m00302,f,India,RHESUS MACAQUE,864985,Whole Genome: Deep Coverage,SRR7865769,324787037
m00308,f,India,RHESUS MACAQUE,864992,Whole Genome: Deep Coverage,SRR7865768,304385813
m00309,f,India,RHESUS MACAQUE,864993,Whole Genome: Deep Coverage,SRR7865767,301878861
m00310,f,India,RHESUS MACAQUE,864996,Whole Genome: Deep Coverage,SRR7865766,313132879
m00311,f,India,RHESUS MACAQUE,864997,Whole Genome: Deep Coverage,SRR7865761,376728771
m00312,m,India,RHESUS MACAQUE,865000,Whole Genome: Deep Coverage,SRR7865760,333513811
m00313,f,India,RHESUS MACAQUE,865001,Whole Genome: Deep Coverage,SRR7865687,287165032
m00314,m,India,RHESUS MACAQUE,865004,Whole Genome: Deep Coverage,SRR7865763,345131193
m00315,f,India,RHESUS MACAQUE,865007,Whole Genome: Deep Coverage,SRR7865762,310749475
m00316,f,India,RHESUS MACAQUE,865010,Whole Genome: Deep Coverage,SRR7865757,320601033
m00317,f,India,RHESUS MACAQUE,865012,Whole Genome: Deep Coverage,SRR7865756,297508969
m00318,f,India,RHESUS MACAQUE,865015,Whole Genome: Deep Coverage,SRR7865759,313452850
m00319,m,India,RHESUS MACAQUE,865016,Whole Genome: Deep Coverage,SRR7865758,326414838
m00320,f,India,RHESUS MACAQUE,865019,Whole Genome: Deep Coverage,SRR7865765,342803716
m00321,f,India,RHESUS MACAQUE,865020,Whole Genome: Deep Coverage,SRR7865764,332204180
m00322,m,India,RHESUS MACAQUE,865023,Whole Genome: Deep Coverage,SRR7865738,326161354
m00323,f,India,RHESUS MACAQUE,865024,Whole Genome: Deep Coverage,SRR7865739,348128471
m00324,f,India,RHESUS MACAQUE,865027,Whole Genome: Deep Coverage,SRR7865740,331503730
m00325,f,India,RHESUS MACAQUE,865028,Whole Genome: Deep Coverage,SRR7865741,328973080
m00326,f,India,RHESUS MACAQUE,865031,Whole Genome: Deep Coverage,SRR7865742,335756960
m00327,f,India,RHESUS MACAQUE,865032,Whole Genome: Deep Coverage,SRR7865743,327344580
m00328,m,India,RHESUS MACAQUE,865035,Whole Genome: Deep Coverage,SRR7865744,366286261
m00329,f,India,RHESUS MACAQUE,865036,Whole Genome: Deep Coverage,SRR7865686,313810511
m00330,f,India,RHESUS MACAQUE,865039,Whole Genome: Deep Coverage,SRR7865745,324095887
m00331,f,India,RHESUS MACAQUE,865040,Whole Genome: Deep Coverage,SRR7865736,308380308
m00332,m,India,RHESUS MACAQUE,865043,Whole Genome: Deep Coverage,SRR7865737,319521214
m00333,m,India,RHESUS MACAQUE,865045,Whole Genome: Deep Coverage,SRR7865746,289100680
m00334,f,India,RHESUS MACAQUE,865047,Whole Genome: Deep Coverage,SRR7865727,313287985
m00335,m,India,RHESUS MACAQUE,865048,Whole Genome: Deep Coverage,SRR7865726,342889876
m00336,m,India,RHESUS MACAQUE,865051,Whole Genome: Deep Coverage,SRR7865692,303117526
m00337,f,India,RHESUS MACAQUE,865053,Whole Genome: Deep Coverage,SRR7865725,299263742
m00338,f,India,RHESUS MACAQUE,865054,Whole Genome: Deep Coverage,SRR7865724,313449189
m00345,m,India,RHESUS MACAQUE,865063,Whole Genome: Deep Coverage,SRR7865723,289435966
m00356,f,India,RHESUS MACAQUE,865075,Whole Genome: Deep Coverage,SRR7865679,373009117
m00357,f,India,RHESUS MACAQUE,865076,Whole Genome: Deep Coverage,SRR7865678,311734344
m00359,f,India,RHESUS MACAQUE,865080,Whole Genome: Deep Coverage,SRR7865733,359406910
m00360,m,India,RHESUS MACAQUE,865081,Whole Genome: Deep Coverage,SRR7865732,414988831
m00366,m,India,RHESUS MACAQUE,865090,Whole Genome: Deep Coverage,SRR7865722,277609602
m00368,f,India,RHESUS MACAQUE,865095,Whole Genome: Deep Coverage,SRR7865721,287303964
m00369,f,India,RHESUS MACAQUE,865096,Whole Genome: Deep Coverage,SRR7865674,281654282
m00372,m,India,RHESUS MACAQUE,865102,Whole Genome: Deep Coverage,SRR7865735,376372418
m00378,m,India,RHESUS MACAQUE,865111,Whole Genome: Deep Coverage,SRR7865734,367048124
m00381,f,India,RHESUS MACAQUE,865116,Whole Genome: Deep Coverage,SRR7865675,301305976
m00389,m,India,RHESUS MACAQUE,865126,Whole Genome: Deep Coverage,SRR7865676,293973917
m00398,f,,RHESUS MACAQUE,865136,Whole Genome: Deep Coverage,SRR7865720,320394505
m00404,f,India,RHESUS MACAQUE,865143,Whole Genome: Deep Coverage,SRR7865677,344033468
m00411,f,India,RHESUS MACAQUE,865151,Whole Genome: Deep Coverage,SRR7865670,291551314
m00412,m,India,RHESUS MACAQUE,865152,Whole Genome: Deep Coverage,SRR7865671,294684267
